ITEM,PRICE,QUANTITY,TOTAL PRICE,SOURCE,Ordered,BOUGHT/OWNED?,LINK,
8x14x4 Bearings x20,3.82,2,7.64,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256807482131308.html?spm=a2g0o.productlist.main.7.5690ryV2ryV2TH&algo_pvid=f23432ea-3472-49ed-9a39-79761f2350f9&algo_exp_id=f23432ea-3472-49ed-9a39-79761f2350f9-6&pdp_ext_f=%7B%22order%22%3A%227435%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%213.36%213.36%21%21%2123.98%2123.98%21%402103273e17495242272488686eaef7%2112000041725798019%21sea%21US%216369526691%21X&curPageLogUid=SbSow7puJSWi&utparam-url=scene%3Asearch%7Cquery_from%3A,
2020 Extrusion,48.03,1,48.03,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256807024011071.html?spm=a2g0o.order_list.order_list_main.11.21c91802ih3ocl&gatewayAdapt=glo2usa,
3mm Panel Stock,SPONSORED,-,0,,FALSE,FALSE,,
PTC Heater,23.29,1,23.29,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256807256675102.html?spm=a2g0o.productlist.main.1.311522e9QCM4Gz&algo_pvid=2761e3fe-09e0-4f34-b3ee-b44ba23d5394&algo_exp_id=2761e3fe-09e0-4f34-b3ee-b44ba23d5394-0&pdp_ext_f=%7B%22order%22%3A%22709%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%2111.38%2111.38%21%21%2111.38%2111.38%21%402101c5b217496917577087273e4c0c%2112000040774614525%21sea%21US%216369526691%21X&curPageLogUid=uvTJW2M65eWJ&utparam-url=scene%3Asearch%7Cquery_from%3A,
RPI 0 W,SPONSORED,1,0,Other,FALSE,TRUE,,
Fused Inlet,1.75,1,1.75,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256803622977718.html?spm=a2g0o.productlist.main.6.1702Is1AIs1Aey&algo_pvid=015ebea0-ead4-41dd-974d-0a4980ad7ee9&algo_exp_id=015ebea0-ead4-41dd-974d-0a4980ad7ee9-5&pdp_ext_f=%7B%22order%22%3A%22448%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.60%211.60%21%21%211.60%211.60%21%402103241117498804286772537e4138%2112000027238480322%21sea%21US%216369526691%21X&curPageLogUid=xgv6JNk4TSqJ&utparam-url=scene%3Asearch%7Cquery_from%3A,
LRS 35-5,20.92,1,20.92,Other,FALSE,FALSE,https://www.ledsupply.com/power-supplies/mean-well-lrs-enclosed,
SSR,4.37,1,4.37,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256807191314682.html?spm=a2g0o.productlist.main.1.4479Ry5FRy5FPP&aem_p4p_detail=202505301948163050627271493690001015015&algo_pvid=692bafb8-0d74-42ad-aaf7-037f0ed24939&algo_exp_id=692bafb8-0d74-42ad-aaf7-037f0ed24939-0&pdp_ext_f=%7B%22order%22%3A%22237%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%214.14%210.99%21%21%2129.59%217.09%21%4021030ea417486596961658444ed482%2112000040591884986%21sea%21US%216369526691%21ABX&curPageLogUid=QQ0tyftiDOMO&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202505301948163050627271493690001015015_1#nav-review,
Screen,8.28,1,8.28,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/3256804040301225.html?spm=a2g0o.productlist.main.25.57452a35tg7gBc&algo_pvid=b71550df-16da-4ac5-838d-eb380c6dd078&algo_exp_id=b71550df-16da-4ac5-838d-eb380c6dd078-24&pdp_ext_f=%7B%22order%22%3A%22158%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%218.28%218.28%21%21%218.28%218.28%21%402101c5bf17498760583211323e807a%2112000028447638493%21sea%21US%216369526691%21X&curPageLogUid=4FnhOomA9Qvi&utparam-url=scene%3Asearch%7Cquery_from%3A,
Humidity/Temp Sensor,1.94,2,3.88,Aliexpress,FALSE,FALSE,https://www.aliexpress.us/item/2251832573586959.html?spm=a2g0o.productlist.main.1.27e1695cUmDfpI&algo_pvid=9a933688-c562-4d42-a3d4-62435b19a97e&algo_exp_id=9a933688-c562-4d42-a3d4-62435b19a97e-0&pdp_ext_f=%7B%22order%22%3A%222032%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.94%211.94%21%21%211.94%211.94%21%402101ead817498725883526767e5a94%2162102476019%21sea%21US%216369526691%21X&curPageLogUid=th9rXgw7Xspw&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-specification,
8mm Steel Shaft 550mm,18.99,1,18.99,Amazon,FALSE,FALSE,https://www.amazon.com/gp/product/B0BQBXS42G?smid=A2COIW4JKWLTTA&th=1,
